nombre,edad,genero,ciudad,pizza,burger,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades
Tyrene Murasan,46,mujer,San Juan Despí,piña,False,restaurante,relajada,pop,rock/metal,bar,playa
Riana Brownlee,25,hombre,Itero Seco,piña,True,comida rápida,relajada,hip hop,rock/metal,bar,montaña
Patrisia Manchini,36,hombre,Almodóvar del Pinar,piña,False,restaurante,relajada,hip hop,techno,disco,playa
Cassandra Aouadi,45,mujer,Hontanares,piña,True,restaurante,relajada,pop,techno,bar,montaña
Onelia Apraez,35,hombre,Tobes y Rahedo,no piña,True,restaurante,relajada,hip hop,techno,bar,playa
Mitzi Daoiz,29,mujer,Artesa de Segre,piña,True,restaurante,relajada,hip hop,rock/metal,bar,montaña
Loriel Perez alfaro,28,hombre,Mora la Nueva,no piña,False,restaurante,rápida,pop,rock/metal,disco,playa
Jackline Janot,24,mujer,Revilla del Campo,piña,True,restaurante,rápida,hip hop,rock/metal,disco,montaña
Sharay Mahanera,30,mujer,Perdigón (El),piña,False,comida rápida,rápida,hip hop,rock/metal,disco,playa
Madilyn Natural,29,mujer,Morell,no piña,True,restaurante,relajada,hip hop,techno,bar,montaña
Odessa Enriquez de salamanca,32,mujer,Vulpellach,piña,False,restaurante,relajada,hip hop,rock/metal,bar,montaña
Kimberlyn Mesuro,49,mujer,Baltanás,piña,False,comida rápida,rápida,pop,techno,bar,playa
Anglica Ortiz de viñaspre,23,hombre,Villava,piña,True,comida rápida,rápida,pop,techno,bar,playa
Antonino Aidouni,23,hombre,Oya,no piña,False,comida rápida,relajada,hip hop,rock/metal,bar,montaña
Kyli Ruiz de mier,44,hombre,Tortosa,no piña,False,comida rápida,rápida,pop,rock/metal,bar,montaña
Colisha Merad,41,hombre,Resoba,piña,False,comida rápida,relajada,pop,rock/metal,bar,montaña
Sherly Mchiche,40,mujer,San Cipriano de Vallalta,piña,True,comida rápida,rápida,pop,techno,bar,montaña
Vilma Sanguina,32,mujer,Porriño,no piña,True,restaurante,rápida,pop,techno,bar,montaña
Ravis Martin de la plaza,50,mujer,Simat de Valldigna,piña,True,restaurante,rápida,pop,techno,bar,playa
Vanda Vivares,39,hombre,Alcubilla de las Peñas,no piña,True,restaurante,relajada,pop,techno,disco,playa
Ashling Rasanen,36,mujer,Castelltersol,piña,True,comida rápida,rápida,pop,techno,disco,montaña
Mickael Ouannoughi,31,hombre,Aldea del Rey Niño,piña,True,comida rápida,rápida,pop,rock/metal,disco,playa
Juanesha Airado,37,mujer,Barbadanes,piña,False,comida rápida,relajada,hip hop,rock/metal,disco,playa
Cherise Yavorskyy,47,hombre,Villarcayo,piña,False,comida rápida,relajada,pop,techno,disco,montaña
Dakisha Manoliu,19,hombre,Cabrera de Igualada,piña,True,comida rápida,rápida,pop,techno,disco,montaña
Shelby Vivan,44,mujer,Olza,piña,True,restaurante,relajada,pop,techno,disco,montaña
Parker Massone,25,mujer,Incio,piña,True,restaurante,rápida,pop,techno,bar,playa
Tenisha Silano,46,mujer,Fuentes de Ágreda,piña,True,comida rápida,relajada,pop,rock/metal,disco,playa
Lavina Bedin,36,mujer,Moraleja,no piña,False,restaurante,relajada,pop,techno,bar,playa
Matthen Hanninen,26,mujer,Alquería de la Condesa,piña,False,restaurante,relajada,hip hop,rock/metal,bar,playa
Laparis Heron,24,hombre,Villagarcía de Arosa,piña,False,restaurante,rápida,pop,techno,bar,playa
Lakindra Vellibre,29,hombre,Valoria del Alcor,piña,True,restaurante,rápida,pop,rock/metal,bar,montaña
Adrion Zappala,20,mujer,Morales del Rey,no piña,True,comida rápida,relajada,hip hop,techno,disco,playa
Lovey Harti,47,hombre,Montmany,piña,False,restaurante,relajada,pop,techno,disco,playa
Sheema Niebles,29,mujer,Gimenells i el Pla de la Font,piña,False,restaurante,relajada,hip hop,rock/metal,disco,playa
Lorena Timaru,31,mujer,Orduña,no piña,False,restaurante,relajada,pop,rock/metal,disco,montaña
Tiffanie De valles,23,hombre,Lentejí,piña,False,restaurante,rápida,pop,rock/metal,disco,playa
Samanda Borroho,49,hombre,Horna,piña,False,comida rápida,rápida,hip hop,techno,disco,playa
Armand Urazurrutia,25,hombre,Junta de la Cerca,piña,False,comida rápida,relajada,pop,techno,disco,montaña
Kianna Luarte,45,mujer,Beteta,piña,False,comida rápida,rápida,hip hop,techno,bar,montaña
Thea Cahuasqui,26,mujer,Jábaga,no piña,False,comida rápida,relajada,pop,rock/metal,disco,playa
Jerrick Cuaspud,18,hombre,Arlanzón,no piña,True,restaurante,rápida,hip hop,techno,bar,playa
Dominquie Ghioc,34,mujer,Lónguida,no piña,False,restaurante,rápida,pop,rock/metal,disco,montaña
Roseline Chulca,24,hombre,Villaverde-Peñahorada,no piña,False,restaurante,rápida,pop,techno,bar,montaña
Talar Coronet,39,hombre,Aguas de Busot,no piña,True,restaurante,relajada,pop,techno,disco,playa
Marucs Hedesa,33,hombre,Cercadillo,no piña,True,restaurante,rápida,hip hop,rock/metal,bar,montaña
Donia Driessen,40,hombre,Fernancaballero,piña,False,restaurante,rápida,hip hop,rock/metal,bar,playa
Megen Denton,24,mujer,Selva de Mar,no piña,False,restaurante,relajada,pop,rock/metal,bar,playa
Letricia Pavelea,35,hombre,Panticosa,piña,False,comida rápida,rápida,hip hop,rock/metal,bar,montaña
Anne Paiu,45,hombre,Figols de Orgañá,piña,True,restaurante,rápida,pop,rock/metal,bar,playa
Dusti Perianu,34,hombre,Pallargas,piña,True,restaurante,relajada,hip hop,techno,disco,montaña
Quanda Campin,31,hombre,Sotoca,no piña,True,comida rápida,rápida,pop,rock/metal,bar,playa
Vester Ibourk,36,hombre,Prat de Llobregat,piña,True,comida rápida,rápida,pop,techno,bar,montaña
Rebcca Cortezo,47,hombre,Sancellas,no piña,True,restaurante,relajada,hip hop,techno,disco,montaña
Elessa Pitts,34,hombre,Medina del Campo,piña,False,restaurante,relajada,pop,techno,disco,montaña
Louise Kerkour,35,mujer,Ugíjar,no piña,True,comida rápida,relajada,hip hop,rock/metal,bar,montaña
