nombre,edad,correo,genero,provincia,ciudad,disponibilidad,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Tyleen Onoaie,31,TyleenOnoaie@micorreo.es,mujer,Soria,Almazul,find de semana,mañana,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1511.jpg,41.5746727,-2.1458688
Domenik Grimaret,43,DomenikGrimaret@micorreo.es,mujer,Teruel,Alacón,estresemana,mañana,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1461.jpg,41.0232224,-0.6967146
Madelin Bendahan,51,MadelinBendahan@micorreo.es,hombre,Burgos,Cayuela,find de semana,noche,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/979.jpg,42.2730934,-3.8203405
Marquita Khal,55,MarquitaKhal@micorreo.es,hombre,Ciudad_real,Torrenueva,find de semana,mañana,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/451.jpg,38.6397821,-3.3648129
Gilverto Umerez,79,GilvertoUmerez@micorreo.es,hombre,Lleida,Montgai,estresemana,tarde,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1142.jpg,41.7999989,0.961434
Edgardo Ochoa de echaguen,53,EdgardoOchoa de echaguen@micorreo.es,mujer,Las_palmas,Puerto del rosario,find de semana,tarde,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/791.jpg,28.4993424,-13.8599051
Peggy Fernandez de arroiabe,72,PeggyFernandez de arroiabe@micorreo.es,mujer,Valladolid,Torrecilla de la abadesa,estresemana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1788.jpg,41.4847317,-5.0865117
Vernice Ramonde,81,VerniceRamonde@micorreo.es,hombre,Malaga,Canillas de aceituno,find de semana,mañana,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1868.jpg,36.8731665,-4.0821261
Ervin Belaarbi,50,ErvinBelaarbi@micorreo.es,hombre,Burgos,Sotillo de la ribera,find de semana,mañana,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1865.jpg,41.7780479,-3.8257716
Cristobal Visquert,24,CristobalVisquert@micorreo.es,hombre,Guadalajara,Escariche,estresemana,mañana,bar,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1183.jpg,40.4083857,-3.0562623
Eberardo Antoja,37,EberardoAntoja@micorreo.es,mujer,Madrid,Moraleja de enmedio,estresemana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1964.jpg,40.2615532,-3.8612117
Lacrecia Delgado de torres,36,LacreciaDelgado de torres@micorreo.es,mujer,Leon,San millán de los caballeros,find de semana,noche,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/299.jpg,42.2853061,-5.5617714
Ninfa Toderean,32,NinfaToderean@micorreo.es,mujer,Islas_baleares,Sóller,find de semana,mañana,disco,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1016.jpg,39.7663047,2.7150538
Twyla Patrach,24,TwylaPatrach@micorreo.es,mujer,Almeria,Láujar de andarax,find de semana,mañana,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1302.jpg,36.9939431,-2.8898117
Travian Schillaci,63,TravianSchillaci@micorreo.es,hombre,Caceres,Garciaz,find de semana,mañana,bar,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/369.jpg,39.4130907,-5.6275512
Denyce Smythe,20,DenyceSmythe@micorreo.es,hombre,La_rioja,Cabezón de cameros,find de semana,tarde,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2006.jpg,42.1973,-2.51952
Joselin Lapuebla,57,JoselinLapuebla@micorreo.es,hombre,Islas_baleares,Lloret de vistalegre,estresemana,tarde,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1617.jpg,39.61793,2.9751725
Sanela Garcia lozano,60,SanelaGarcia lozano@micorreo.es,mujer,Huelva,Hinojales,find de semana,mañana,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/918.jpg,38.0081838,-6.5914435
Deandre Coltatu,48,DeandreColtatu@micorreo.es,hombre,Burgos,Hontangas,find de semana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1521.jpg,41.5826524,-3.7958319
Mickel Talpos,74,MickelTalpos@micorreo.es,hombre,Murcia,Bullas,estresemana,mañana,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/367.jpg,38.0497852,-1.6703391
Rowan Cordovan,38,RowanCordovan@micorreo.es,mujer,Soria,Carabantes,estresemana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/163.jpg,41.5523624,-1.9983174
Yaneris Guelfo,69,YanerisGuelfo@micorreo.es,mujer,Avila,Gilbuena,find de semana,mañana,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1256.jpg,40.4150429,-5.606348
Kecia Silvalde,74,KeciaSilvalde@micorreo.es,mujer,Asturias,Gijón,estresemana,tarde,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1869.jpg,43.5449422,-5.66275
Bee Senzano,37,BeeSenzano@micorreo.es,hombre,Lleida,Vilanova de meià,estresemana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/864.jpg,41.9956571,1.0239566
Senaida Gambon,63,SenaidaGambon@micorreo.es,mujer,Ciudad_real,Villamayor de calatrava,find de semana,mañana,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/165.jpg,38.7877317,-4.1386794
Travers Saixo,45,TraversSaixo@micorreo.es,hombre,Vizcaya,Maruri-jatabe,estresemana,tarde,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/923.jpg,43.3793511,-2.8689304
Karine Mouhssine,53,KarineMouhssine@micorreo.es,mujer,Alicante,Salinas,find de semana,tarde,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/477.jpg,36.6744117,-121.655037
Ovidio Boutabouzi,31,OvidioBoutabouzi@micorreo.es,hombre,Palencia,Villodre,find de semana,noche,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1363.jpg,42.211561,-4.2458531
Patrese Chapel,59,PatreseChapel@micorreo.es,hombre,Caceres,Cedillo,estresemana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1559.jpg,39.6517708,-7.5001622
Tenecia Heathcote,55,TeneciaHeathcote@micorreo.es,mujer,Zamora,Alcubilla de nogales,estresemana,noche,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1827.jpg,42.1285058,-5.9212583
Kenja Martin lunas,36,KenjaMartin lunas@micorreo.es,hombre,Segovia,Santo tomé del puerto,estresemana,tarde,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/590.jpg,41.17891,-3.5860492605097694
Gergory Ouidad,45,GergoryOuidad@micorreo.es,mujer,Lugo,"Saviñao, o",find de semana,mañana,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/962.jpg,42.5820824,-7.6289632
Karter Garcia mohedano,60,KarterGarcia mohedano@micorreo.es,hombre,Islas_baleares,Banyalbufar,estresemana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/926.jpg,39.6874544,2.5147715
Aniceto El farhi,41,AnicetoEl farhi@micorreo.es,mujer,Almeria,Urrácal,find de semana,noche,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/988.jpg,37.3975114,-2.3650518
Jovonna Garcia de movellan,86,JovonnaGarcia de movellan@micorreo.es,hombre,Castellon,Benafigos,find de semana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/412.jpg,40.2766231,-0.2089795
Najla El harrouyi,70,NajlaEl harrouyi@micorreo.es,hombre,Burgos,Sotragero,estresemana,noche,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1320.jpg,42.4099668,-3.7127498
Meyosha Bassy,63,MeyoshaBassy@micorreo.es,hombre,Ceuta,Ceuta,find de semana,noche,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/256.jpg,35.89442195,-5.355817352394269
Rome Laboreo,63,RomeLaboreo@micorreo.es,mujer,Asturias,Avilés,estresemana,tarde,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1879.jpg,43.5554436,-5.9222466
Marqus Novero,64,MarqusNovero@micorreo.es,mujer,Tarragona,"Nou de gaià, la",estresemana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1429.jpg,41.1843966,1.3765079
Imberly Cudos,80,ImberlyCudos@micorreo.es,hombre,Girona,Sant andreu salou,estresemana,mañana,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1430.jpg,41.8732667,2.8254449
Glynis Iguerategui,26,GlynisIguerategui@micorreo.es,hombre,Avila,Cabezas del villar,estresemana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1232.jpg,40.7144689,-5.2092617
Priya Boggio,44,PriyaBoggio@micorreo.es,hombre,A_coruna,Bergondo,find de semana,tarde,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1593.jpg,43.3117553,-8.2463208
Everet Atiqi,56,EveretAtiqi@micorreo.es,mujer,Sevilla,Castilleja de la cuesta,estresemana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1931.jpg,37.3867839,-6.054127
Korrine Urola,41,KorrineUrola@micorreo.es,mujer,Cadiz,Prado del rey,find de semana,mañana,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1268.jpg,36.7879415,-5.5572276
Jevon Madaula,73,JevonMadaula@micorreo.es,mujer,Valencia,Calles,find de semana,tarde,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/805.jpg,39.7254187,-0.973942
Kyron Bellapart,53,KyronBellapart@micorreo.es,hombre,Caceres,Gargüera,find de semana,noche,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/654.jpg,40.8320487,-3.6752778
Curtis Brocker,36,CurtisBrocker@micorreo.es,mujer,Malaga,Cartajima,estresemana,noche,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1717.jpg,36.6455316,-5.1539254
Chana Juvinya,52,ChanaJuvinya@micorreo.es,hombre,Albacete,Albatana,find de semana,noche,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/551.jpg,38.5709891,-1.5226396
Basheer Doñagueda,82,BasheerDoñagueda@micorreo.es,mujer,Navarra,Luquin,find de semana,mañana,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1520.jpg,42.6122984,-2.0991905
Shania Cebadero,74,ShaniaCebadero@micorreo.es,mujer,Vizcaya,Sondika,estresemana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1648.jpg,43.2979405,-2.9272819
Andres Gerriko,71,AndresGerriko@micorreo.es,mujer,Huelva,Cañaveral de león,find de semana,mañana,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/742.jpg,38.01434935,-6.527299906554508
Chirstina Undabeitia,76,ChirstinaUndabeitia@micorreo.es,mujer,Segovia,Fuentepiñel,find de semana,mañana,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2009.jpg,41.4011417,-4.041854
Betti Cambiella,44,BettiCambiella@micorreo.es,hombre,A_coruna,Fene,find de semana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/54.jpg,43.473674,-8.1625614
Timathy Youssoufi,26,TimathyYoussoufi@micorreo.es,mujer,Vizcaya,Urduña/orduña,find de semana,noche,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/405.jpg,42.994926,-3.009915
Jojo Masaoudi,56,JojoMasaoudi@micorreo.es,hombre,Melilla,Melilla,find de semana,noche,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1546.jpg,35.29291145,-2.950720236037561
Johniece Emborujo,58,JohnieceEmborujo@micorreo.es,mujer,Castellon,Tírig,find de semana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1334.jpg,40.4234553,0.0779913
Lemarcus Hales,41,LemarcusHales@micorreo.es,hombre,Ciudad_real,Carrizosa,estresemana,noche,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1755.jpg,38.8421581,-2.9915523
Bj Larriut,50,BjLarriut@micorreo.es,mujer,Ciudad_real,Piedrabuena,find de semana,noche,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/52.jpg,39.0344592,-4.1753284
Malik Ueda,71,MalikUeda@micorreo.es,mujer,Badajoz,Mirandilla,estresemana,tarde,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/517.jpg,39.0008159,-6.2898087
Dinero Solachi,82,DineroSolachi@micorreo.es,hombre,Madrid,Ciempozuelos,estresemana,noche,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1494.jpg,40.1580087,-3.6205514
Jawad Huarriz,29,JawadHuarriz@micorreo.es,mujer,Guipuzcoa,Elgoibar,estresemana,mañana,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/876.jpg,43.2143558,-2.4168588
Timisha Ventanas,37,TimishaVentanas@micorreo.es,hombre,Toledo,Consuegra,find de semana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/576.jpg,39.460918,-3.6070786
Rosheena Sobradiel,72,RosheenaSobradiel@micorreo.es,hombre,Avila,Narrillos del álamo,estresemana,mañana,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/757.jpg,40.5665587,-5.4659816
Niketa Gritto,35,NiketaGritto@micorreo.es,mujer,Navarra,Guirguillano,estresemana,noche,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/981.jpg,42.7180835,-1.8782768
Marquesha Argomedo,92,MarqueshaArgomedo@micorreo.es,hombre,Caceres,Cabezuela del valle,estresemana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1199.jpg,40.1926576,-5.8055688
