nombre,edad,genero,provincia,ciudad,pizza,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Allisyn Anahnah,78,otro,Castellon,Cinctorres,estresemana,tarde,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/72.jpg,40.5825853,-0.2161136
Renecia Tuazon,61,mujer,A_coruna,Coristanco,estresemana,tarde,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/438.jpg,43.187333,-8.7369979
Daren Saulean,82,mujer,Melilla,Melilla,estresemana,tarde,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1509.jpg,35.29291145,-2.950720236037561
Mana Lakouz,34,hombre,Avila,Navaluenga,estresemana,tarde,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/583.jpg,40.4101393,-4.7079974
Alecia Belis,31,otro,Santa_cruz_de_tenerife,Puntagorda,find de semana,noche,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1235.jpg,28.7655011,-17.9797433
Sundae Pluta,93,hombre,Huesca,Chimillas,estresemana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/145.jpg,42.1712717,-0.4523857
Coutney Saouli,69,otro,Almeria,Almócita,estresemana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1497.jpg,37.003137,-2.7904479
Trevonte El khamal,75,mujer,Segovia,Aldeanueva del codonal,find de semana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1255.jpg,41.0817174,-4.5437054
Talia Caprara,72,hombre,Salamanca,Fuentes de béjar,estresemana,mañana,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/929.jpg,40.5091667,-5.6916642
Christinea Panti,49,hombre,Cordoba,Fuente palmera,estresemana,tarde,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1965.jpg,37.7034749,-5.1034327
Natlie Cestafe,77,hombre,Badajoz,Casas de don pedro,find de semana,tarde,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1503.jpg,39.105649,-5.3308461
Zeina Bolshakova,81,otro,Melilla,Melilla,find de semana,mañana,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1634.jpg,35.29291145,-2.950720236037561
Aldwin Rosoga,90,hombre,Valladolid,Villalbarba,estresemana,mañana,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/226.jpg,41.6040351,-5.2127131
Samina Pesaresi,61,hombre,Badajoz,Peraleda del zaucejo,find de semana,noche,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/424.jpg,38.4741788,-5.5645445
