nombre,edad,genero,provincia,ciudad,pizza,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Tolulope Tu,86,hombre,Lleida,Camarasa,estresemana,mañana,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1727.jpg,41.8756649,0.8778945
Mccoy Fanelli,86,mujer,Cordoba,Adamuz,estresemana,tarde,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/588.jpg,38.0269999,-4.5245275
Amberlie Essoubai,23,mujer,Teruel,Nogueras,find de semana,tarde,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1793.jpg,41.1350928,-1.0668188
Jerson Kwiatkowska,31,hombre,Cantabria,Valdeprado del río,estresemana,noche,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/53.jpg,42.875519,-4.0926302
Sharyl Felardo,75,hombre,Valladolid,Manzanillo,estresemana,tarde,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1232.jpg,41.586343,-4.189038
Antuan Fontoura,32,hombre,Lugo,Sarria,find de semana,noche,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1669.jpg,42.7784203,-7.4146607
Leigh Fernandez del pozo,49,mujer,Zamora,Cazurra,find de semana,noche,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1452.jpg,41.4155012,-5.7041044
Ennifer Pacoret,75,mujer,Las_palmas,Haría,estresemana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/893.jpg,29.1458859,-13.5001038
Silvester De monteys,24,hombre,Castellon,Zucaina,find de semana,tarde,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/522.jpg,40.1319864,-0.4189382
Denzil Americo,54,mujer,Granada,"Taha, la",estresemana,tarde,disco,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/981.jpg,51.01096965,4.006349599012893
Delores Señan,45,mujer,Zaragoza,Villafranca de ebro,estresemana,noche,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2028.jpg,41.5744538,-0.6503087
Mckell Cutipa,77,mujer,Lugo,Cervo,estresemana,mañana,bar,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/95.jpg,43.9258581,8.1139292
Zakee Dodani,33,mujer,Madrid,Leganés,find de semana,mañana,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2018.jpg,40.3281942,-3.76527
Sharai Neal,42,hombre,Malaga,Sayalonga,estresemana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/664.jpg,36.7982701,-4.012961
Terrelle Ouaddi,35,hombre,Murcia,Cieza,find de semana,tarde,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/412.jpg,43.2230443,-4.124873387159046
Lorina Perez rejon,53,mujer,Huelva,Galaroza,find de semana,noche,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1830.jpg,37.9264058,-6.7052981
